equipID,equipName,equipInfo,equipType,equipAttribute,equipQuantity,equipDurability,equipAttack,equipAttackSpeed,equipArmor,equipBarrier,debuffToEnemy,buffToPlayer,equipImprovedNum,improvedSeedID,seedID,regressedSeedID
1010001,철퇴 두리안 (+0),"줄기가 길어 모닝스타처럼 휘두를 수 있는 거대한 두리안,
휘두를 때마다 악취로 적들을 일정 확률로 도망가게 한다.",1,3,1,50,20,1,0,0,0,0,0 ,1121001,1120001,1120001
1011001,철퇴 두리안 (+1),"줄기가 길어 모닝스타처럼 휘두를 수 있는 거대한 두리안,
휘두를 때마다 악취로 적들을 일정 확률로 도망가게 한다.",1,3,1,50,25,1,0,0,0,0,1 ,1122001,1121001,1120001
1012001,철퇴 두리안 (+2),"줄기가 길어 모닝스타처럼 휘두를 수 있는 거대한 두리안,
휘두를 때마다 악취로 적들을 일정 확률로 도망가게 한다.",1,3,1,50,30,1,0,0,0,0,2 ,1123001,1122001,1121001
1013001,철퇴 두리안 (+3),"줄기가 길어 모닝스타처럼 휘두를 수 있는 거대한 두리안,
휘두를 때마다 악취로 적들을 일정 확률로 도망가게 한다.",1,3,1,50,35,1,0,0,0,0,3 ,1124001,1123001,1122001
1014001,철퇴 두리안 (+4),"줄기가 길어 모닝스타처럼 휘두를 수 있는 거대한 두리안,
휘두를 때마다 악취로 적들을 일정 확률로 도망가게 한다.",1,3,1,50,40,1,0,0,0,0,4 ,1125001,1124001,1123001
1015001,철퇴 두리안 (+5),"줄기가 길어 모닝스타처럼 휘두를 수 있는 거대한 두리안,
휘두를 때마다 악취로 적들을 일정 확률로 도망가게 한다.",1,3,1,50,45,1,0,0,0,0,5 ,1126001,1125001,1124001
1016001,철퇴 두리안 (+6),"줄기가 길어 모닝스타처럼 휘두를 수 있는 거대한 두리안,
휘두를 때마다 악취로 적들을 일정 확률로 도망가게 한다.",1,3,1,50,50,1,0,0,0,0,6 ,1127001,1126001,1125001
1017001,철퇴 두리안 (+7),"줄기가 길어 모닝스타처럼 휘두를 수 있는 거대한 두리안,
휘두를 때마다 악취로 적들을 일정 확률로 도망가게 한다.",1,3,1,50,55,1,0,0,0,0,7 ,1128001,1127001,1126001
1018001,철퇴 두리안 (+8),"줄기가 길어 모닝스타처럼 휘두를 수 있는 거대한 두리안,
휘두를 때마다 악취로 적들을 일정 확률로 도망가게 한다.",1,3,1,50,60,1,0,0,0,0,8 ,1129001,1128001,1127001
1019001,철퇴 두리안 (+9),"줄기가 길어 모닝스타처럼 휘두를 수 있는 거대한 두리안,
휘두를 때마다 악취로 적들을 일정 확률로 도망가게 한다.",1,3,1,50,65,1,0,0,0,0,9 ,1129001,1129001,1128001
1010002,카타나 페퍼 (+0),"긴 일본도 모양의 거대한 청양고추, 칼집같은 껍질 안쪽엔 날카로운 칼날이 있다. 
휘두를 때마다 주변 지형과 적에게 불을 붙여 지속적인 피해를 준다.",1,1,1,50,10,2,0,0,0,0,0 ,1121002,1120002,1120002
1011002,카타나 페퍼 (+1),"긴 일본도 모양의 거대한 청양고추, 칼집같은 껍질 안쪽엔 날카로운 칼날이 있다. 
휘두를 때마다 주변 지형과 적에게 불을 붙여 지속적인 피해를 준다.",1,1,1,50,12,2.5,0,0,0,0,1 ,1122002,1121002,1120002
1012002,카타나 페퍼 (+2),"긴 일본도 모양의 거대한 청양고추, 칼집같은 껍질 안쪽엔 날카로운 칼날이 있다. 
휘두를 때마다 주변 지형과 적에게 불을 붙여 지속적인 피해를 준다.",1,1,1,50,14,3,0,0,0,0,2 ,1123002,1122002,1121002
1013002,카타나 페퍼 (+3),"긴 일본도 모양의 거대한 청양고추, 칼집같은 껍질 안쪽엔 날카로운 칼날이 있다. 
휘두를 때마다 주변 지형과 적에게 불을 붙여 지속적인 피해를 준다.",1,1,1,50,16,3.5,0,0,0,0,3 ,1124002,1123002,1122002
