UpgradeId,upgradeName,itemId,upgradeStat,upgradeStatAmount,maxUpgrade,genomePoint1,genomePoint2,genomePoint3,genomePoint4,genomePoint5
1401001,철퇴 두리안 공격력 증가,"1011001",1,0.25,5,100,200,400,800,1600
1401002,카타나 페퍼 공격력 증가,"1011002",1,0.25,5,100,200,400,800,1600
1402002,카타나 페퍼 공격 속도 증가,"1011002",2,0.25,5,100,200,400,800,1600
1401003,볼링 코코넛 공격력 증가,"1022003",1,0.5,5,100,200,400,800,1600
1402003,볼링 코코넛 공격 속도 증가,"1022003",2,0.1,5,100,200,400,800,1600
1404004,갑옷 수박 방어력 증가,1032004,4,0.1,5,100,200,400,800,1600
1405004,갑옷 수박 추가 체력 증가,1032004,5,1,5,100,200,400,800,1600
1401000,플레이어 공격력 증가,1000000,1,0.1,5,100,200,400,800,1600
1402000,플레이어 공격속도 증가,1000000,2,0.1,5,100,200,400,800,1600
1403000,플레이어 이동 속도 증가,1000000,3,0.1,5,100,200,400,800,1600
