itemID,itemName,itemInfo,itemType,itemAttribute,itemQuantity,itemEffectID,plantID,itemImprovedNum
1110001,물,"식물에게 필요한 수분, 비료와 같이 소모하여 심은 씨앗을 성체로 성장시킬 수 있다.",1,1,999,0,0,0
1110002,흙냄새 비료,"식물에게 필요한 수분, 물과 같이 소모하여 심은 씨앗을 성체로 성장시킬 수 있다.",1,1,99,0,0,0
1120000,미스터리 씨앗,"땅에 심고 물과 비료를 소모하면 랜덤한 나무로 자라는 씨앗",2,1,99,0,0,0
1120001,두리안 씨앗 (+0),"땅에 심고 물과 비료를 소모하면 두리안 나무로 자라는 씨앗",2,3,99,0,1210001,0
1121001,두리안 씨앗 (+1),"땅에 심고 물과 비료를 소모하면 두리안 나무로 자라는 씨앗",2,3,99,0,1210001,1
1122001,두리안 씨앗 (+2),"땅에 심고 물과 비료를 소모하면 두리안 나무로 자라는 씨앗",2,3,99,0,1210001,2
1123001,두리안 씨앗 (+3),"땅에 심고 물과 비료를 소모하면 두리안 나무로 자라는 씨앗",2,3,99,0,1210001,3
1124001,두리안 씨앗 (+4),"땅에 심고 물과 비료를 소모하면 두리안 나무로 자라는 씨앗",2,3,99,0,1210001,4
1125001,두리안 씨앗 (+5),"땅에 심고 물과 비료를 소모하면 두리안 나무로 자라는 씨앗",2,3,99,0,1210001,5
1126001,두리안 씨앗 (+6),"땅에 심고 물과 비료를 소모하면 두리안 나무로 자라는 씨앗",2,3,99,0,1210001,6
1127001,두리안 씨앗 (+7),"땅에 심고 물과 비료를 소모하면 두리안 나무로 자라는 씨앗",2,3,99,0,1210001,7
1128001,두리안 씨앗 (+8),땅에 심고 물과 비료를 소모하면 두리안 나무로 자라는 씨앗,2,3,99,0,1210001,8
1129001,두리안 씨앗 (+9),땅에 심고 물과 비료를 소모하면 두리안 나무로 자라는 씨앗,2,3,99,0,1210001,9
1120002,페퍼 씨앗 (+0),땅에 심고 물과 비료를 소모하면 고추 나무로 자라는 씨앗,2,3,99,0,1210002,0
1121002,페퍼 씨앗 (+1),땅에 심고 물과 비료를 소모하면 고추 나무로 자라는 씨앗,2,3,99,0,1210002,1
1122002,페퍼 씨앗 (+2),땅에 심고 물과 비료를 소모하면 고추 나무로 자라는 씨앗,2,3,99,0,1210002,2
1123002,페퍼 씨앗 (+3),땅에 심고 물과 비료를 소모하면 고추 나무로 자라는 씨앗,2,3,99,0,1210002,3
1124002,페퍼 씨앗 (+4),땅에 심고 물과 비료를 소모하면 고추 나무로 자라는 씨앗,2,3,99,0,1210002,4
1125002,페퍼 씨앗 (+5),땅에 심고 물과 비료를 소모하면 고추 나무로 자라는 씨앗,2,3,99,0,1210002,5
1126002,페퍼 씨앗 (+6),땅에 심고 물과 비료를 소모하면 고추 나무로 자라는 씨앗,2,3,99,0,1210002,6
1127002,페퍼 씨앗 (+7),땅에 심고 물과 비료를 소모하면 고추 나무로 자라는 씨앗,2,3,99,0,1210002,7
1128002,페퍼 씨앗 (+8),땅에 심고 물과 비료를 소모하면 고추 나무로 자라는 씨앗,2,3,99,0,1210002,8
1129002,페퍼 씨앗 (+9),땅에 심고 물과 비료를 소모하면 고추 나무로 자라는 씨앗,2,3,99,0,1210002,9
1120003,코코넛 씨앗 (+0),땅에 심고 물과 비료를 소모하면 코코넛 나무로 자라는 씨앗,2,3,99,0,1210003,0
1121003,코코넛 씨앗 (+1),땅에 심고 물과 비료를 소모하면 코코넛 나무로 자라는 씨앗,2,3,99,0,1210003,1
