toolTipID,toolTipText,nextToolTip,toolTipPos,arrow1Pos,arrow2Pos
1601001,어서오세요! 게놈 슬레이어 튜토리얼에 오신 것을 환영합니다.,1601002,1,0,0
1601002,"당신은 사방에서 몰려오는 적들을 해치워 가며 해가 저물고 제한시간이 다 될 때까지 살아남아야 합니다. ",1601003,1,0,0
1601003,조작법을 설명해드리겠습니다.,1601004,1,0,0
1601004,"왼쪽의 조이스틱으로 캐릭터를 전, 후, 좌, 우로 이동시킬 수 있습니다.",1601005,1,1,0
1601005,화면을 슬라이드하면 캐릭터의 시야를 이동시킬 수 있습니다.,1601006,1,0,0
1601006,몬스터를 처치하여 얻은 씨앗이나 비료 등 획득한 아이템은 화면 하단 퀵 슬롯의 빈 자리에 등록됩니다.,1601007,2,2,0
1601007,퀵 슬롯의 아이템을 터치해서 장비를 착용하거나 아이템을 선택할 수 있습니다.,1601008,2,2,0
1601008,씨앗을 선택하고 오른쪽 상호작용 버튼을 누르면 해당 씨앗을 심습니다.,1601009,2,2,3
1601009,비료를 선택하고 오른쪽 상호작용 버튼을 누르면 비료를 뿌릴 수 있습니다.,1601010,2,2,3
1601010,씨앗을 심은 자리 주변에서 비료를 일정량 뿌리면 씨앗을 나무로 성장시킬 수 있습니다.,1601011,2,2,3
1601011,나무는 주변에 있는 플레이어나 적에게 버프나 디버프를 줍니다.,1601012,1,0,0
1601012,나무 두 개가 인접해있으면 서로 교배하여 열매를 맺습니다.,1601013,1,0,0
1601013,수확 버튼을 눌러 나무에 맺힌 열매를 수확하여 장비로 쓸 수 있습니다.,1601014,1,4,0
1601014,오른쪽의 공격 버튼을 눌러 전방을 향해 공격할 수 있습니다.,1601015,1,5,0
1601015,챕터 시작 버튼을 눌러 정비를 끝내고 다음 챕터를 시작할 수 있습니다.,1601016,1,6,0
1601016,오른쪽 상단의 시점 전환 버튼을 눌러 탑 뷰와 백 뷰를 오갈 수 있습니다.,1601017,1,7,0
1601017,중앙 상단에서 챕터의 제한시간과 챕터 번호를 알 수 있습니다.,1601018,1,8,0
1601018,왼쪽 상단에서 플레이어의 현재 체력을 알 수 있습니다.,1601019,1,9,0
1601019,플레이어가 사망하면 챕터의 처음으로 돌아옵니다.,1601020,1,0,0
1601020,챕터에서 해가 질 때까지 살아남으세요. 행운을 빕니다!,0,1,0,0
